Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Team,Successful Pick
1989,NBA,1,1,Pervis Ellison,Louisville,474.0,11593.0,4494.0,3170.0,691.0,0.51,0.05,0.689,24.5,9.5,6.7,1.5,21.8,0.09,-0.5,4.4,Kings,False
2023,NBA,1,17,Jalen Hood-Schifino,Indiana,21.0,109.0,34.0,13.0,8.0,0.222,0.133,0.6,5.2,1.6,0.6,0.4,-0.5,-0.222,-16.1,-0.4,Lakers,False
2022,NBA,2,35,Max Christie,Michigan State,108.0,1456.0,412.0,217.0,81.0,0.424,0.378,0.806,13.5,3.8,2.0,0.8,1.3,0.043,-3.5,-0.5,Lakers,False
2021,NBA,1,22,Isaiah Jackson (↳IND),Kentucky,158.0,2354.0,1135.0,669.0,111.0,0.594,0.206,0.679,14.9,7.2,4.2,0.7,7.4,0.151,-0.2,1.1,Lakers,False
2020,NBA,1,28,Jaden McDaniels (↳OKC ↳MIN),Washington,284.0,7835.0,2784.0,1056.0,399.0,0.484,0.354,0.729,27.6,9.8,3.7,1.4,11.6,0.071,-2.4,-0.8,Lakers,False
2019,NBA,1,4,De'Andre Hunter (↳NOP ↳ATL),Virginia,263.0,8080.0,3751.0,1078.0,405.0,0.447,0.363,0.811,30.7,14.3,4.1,1.5,7.6,0.045,-3.2,-2.5,Lakers,False
2018,NBA,1,25,Moritz Wagner,Michigan,333.0,5487.0,2942.0,1288.0,397.0,0.521,0.32,0.82,16.5,8.8,3.9,1.2,14.9,0.13,-0.1,2.6,Lakers,False
2018,NBA,2,47,Sviatoslav Mykhailiuk,Kansas,293.0,4626.0,1835.0,499.0,386.0,0.404,0.363,0.76,15.8,6.3,1.7,1.3,4.2,0.044,-2.4,-0.4,Lakers,False
2017,NBA,1,2,Lonzo Ball,UCLA,252.0,8187.0,2995.0,1447.0,1563.0,0.4,0.364,0.578,32.5,11.9,5.7,6.2,11.4,0.067,1.1,6.3,Lakers,False
2017,NBA,1,28,Tony Bradley (↳UTA),UNC,179.0,1994.0,792.0,729.0,90.0,0.631,0.5,0.681,11.1,4.4,4.1,0.5,7.5,0.181,0.2,1.1,Lakers,True
2016,NBA,1,2,Brandon Ingram,Duke,477.0,15721.0,9256.0,2466.0,2037.0,0.468,0.362,0.786,33.0,19.4,5.2,4.3,27.2,0.083,0.1,8.4,Lakers,False
2016,NBA,2,32,Ivica Zubac,,504.0,10810.0,4613.0,3732.0,580.0,0.612,0.083,0.739,21.4,9.2,7.4,1.2,39.6,0.176,0.3,6.4,Lakers,True
2015,NBA,1,2,D'Angelo Russell,Ohio State,571.0,17265.0,10136.0,1954.0,3289.0,0.43,0.369,0.792,30.2,17.8,3.4,5.8,24.6,0.068,0.7,11.8,Lakers,False
2015,NBA,1,27,Larry Nance,Wyoming,522.0,12124.0,4001.0,3238.0,979.0,0.54,0.342,0.696,23.2,7.7,6.2,1.9,33.4,0.132,1.2,9.9,Lakers,True
2015,NBA,2,34,Anthony Brown,Stanford,41.0,762.0,161.0,103.0,28.0,0.328,0.286,0.85,18.6,3.9,2.5,0.7,-0.2,-0.016,-5.1,-0.6,Lakers,False
2014,NBA,1,7,Julius Randle,Kentucky,641.0,20512.0,12229.0,6004.0,2387.0,0.47,0.333,0.748,32.0,19.1,9.4,3.7,43.3,0.101,0.9,15.2,Lakers,True
2013,NBA,2,48,Ryan Kelly,Duke,163.0,3125.0,981.0,504.0,215.0,0.378,0.316,0.797,19.2,6.0,3.1,1.3,3.0,0.046,-2.6,-0.5,Lakers,False
2012,NBA,2,60,Robert Sacre,Gonzaga,189.0,2745.0,787.0,593.0,126.0,0.436,0.0,0.671,14.5,4.2,3.1,0.7,2.4,0.042,-4.0,-1.4,Lakers,False
2011,NBA,2,41,Darius Morris,Michigan,132.0,1464.0,430.0,126.0,189.0,0.384,0.322,0.63,11.1,3.3,1.0,1.4,-0.3,-0.01,-5.1,-1.2,Lakers,False
2011,NBA,2,46,Andrew Goudelock,College of Charleston,49.0,475.0,197.0,34.0,24.0,0.393,0.345,0.875,9.7,4.0,0.7,0.5,0.0,0.003,-5.0,-0.3,Lakers,False
2010,NBA,2,43,Devin Ebanks,West Virginia,63.0,711.0,224.0,122.0,24.0,0.385,0.222,0.722,11.3,3.6,1.9,0.4,0.5,0.035,-4.8,-0.5,Lakers,False
2009,NBA,1,29,Toney Douglas (↳NYK),Florida State,394.0,7511.0,3009.0,875.0,889.0,0.404,0.354,0.824,19.1,7.6,2.2,2.3,12.1,0.077,-0.8,2.2,Lakers,True
2009,NBA,2,42,Patrick Beverley (↳MIA),Arkansas,666.0,17689.0,5520.0,2729.0,2245.0,0.413,0.371,0.76,26.6,8.3,4.1,3.4,40.2,0.109,0.7,12.1,Lakers,True
2008,NBA,2,58,Joe Crawford,Kentucky,2.0,23.0,9.0,4.0,1.0,0.3,0.25,1.0,11.5,4.5,2.0,0.5,0.0,0.037,-2.7,0.0,Lakers,False
2007,NBA,1,19,Javaris Crittenton,Georgia Tech,113.0,1853.0,595.0,276.0,201.0,0.442,0.231,0.638,16.4,5.3,2.4,1.8,0.1,0.002,-4.2,-1.0,Lakers,False
2007,NBA,2,48,Marc Gasol,,891.0,28719.0,12514.0,6604.0,2996.0,0.481,0.36,0.776,32.2,14.0,7.4,3.4,85.3,0.143,3.1,36.5,Lakers,True
2006,NBA,1,26,Jordan Farmar,UCLA,504.0,9840.0,3888.0,958.0,1453.0,0.423,0.374,0.739,19.5,7.7,1.9,2.9,13.9,0.068,-0.5,3.7,Lakers,False
2006,NBA,2,51,Cheikh Samb (↳DET),,22.0,114.0,22.0,31.0,1.0,0.25,0.0,0.444,5.2,1.0,1.4,0.0,-0.1,-0.056,-9.1,-0.2,Lakers,False
2005,NBA,1,10,Andrew Bynum,,418.0,10690.0,4822.0,3221.0,490.0,0.556,0.111,0.69,25.6,11.5,7.7,1.2,37.4,0.168,1.4,9.1,Lakers,False
2005,NBA,2,37,Ronny Turiaf,Gonzaga,473.0,8020.0,2209.0,1757.0,618.0,0.533,0.0,0.636,17.0,4.7,3.7,1.3,19.2,0.115,0.3,4.7,Lakers,False
2005,NBA,2,39,Von Wafer,Florida State,200.0,2475.0,1054.0,234.0,146.0,0.42,0.325,0.751,12.4,5.3,1.2,0.7,3.3,0.064,-1.8,0.1,Lakers,True
2004,NBA,1,27,Sasha Vujačić,,581.0,8908.0,3094.0,1093.0,748.0,0.39,0.367,0.858,15.3,5.3,1.9,1.3,16.0,0.086,-1.0,2.3,Lakers,False
2003,NBA,1,24,Brian Cook,Illinois,421.0,5649.0,2312.0,1115.0,252.0,0.439,0.382,0.783,13.4,5.5,2.6,0.6,10.2,0.086,-1.6,0.5,Lakers,False
2003,NBA,2,32,Luke Walton,Arizona,564.0,9685.0,2649.0,1588.0,1317.0,0.429,0.326,0.715,17.2,4.7,2.8,2.3,13.5,0.067,-1.0,2.5,Lakers,True
2002,NBA,1,27,Chris Jefferies (↳TOR),Fresno State,72.0,861.0,281.0,88.0,29.0,0.383,0.365,0.667,12.0,3.9,1.2,0.4,-0.5,-0.03,-5.5,-0.8,Lakers,False
2000,NBA,1,29,Mark Madsen,Stanford,453.0,5335.0,975.0,1157.0,181.0,0.457,0.063,0.527,11.8,2.2,2.6,0.4,8.2,0.074,-4.1,-2.9,Lakers,False
